Country Name,Country Code,Indicator Name,Indicator Code,Period,Value
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2005,3.52553179140661
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2005Q1,3.15702509766615
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2005Q2,2.99427748167442
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2005Q3,3.27428234099184
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2005Q4,3.52553179140661
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2006,3.46066404520994
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2006Q1,3.68790526569801
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2006Q2,3.57542881343157
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2006Q3,3.63210425914355
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2006Q4,3.46066404520994
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2007,2.98260391267765
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2007Q1,3.36478051269183
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2007Q2,3.2861155779132
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2007Q3,3.14879266418439
Brazil,223,"Financial Soundness Indicators, Core Set, Deposit Takers, Asset Quality, Non-performing Loans to Total Gross Loans, Percent",FSANL_PT,2007Q4,2.98260391267765
